Date,Close,,
2018-12-01,121.25,,
2019-01-01,124.75,,
2019-02-01,123.989998,,
2019-03-01,122.010002,,
2019-04-01,121.199997,,
2019-05-01,123.330002,,
2019-06-01,133.199997,,
2019-07-01,133.210007,,
2019-08-01,143.75,,
2019-09-01,138.869995,,
2019-10-01,142.429993,,
2019-11-01,137.860001,,
2019-12-01,142.899994,,
2020-01-01,149.330002,,
2020-02-01,148.380005,,
2020-03-01,148.050003,,
2020-04-01,158.800003,,
2020-05-01,162.910004,,
2020-06-01,167.369995,,
2020-07-01,185.429993,,
2020-08-01,184.830002,,
2020-09-01,177.119995,,
2020-10-01,176.199997,,
2020-11-01,166.669998,,
2020-12-01,178.360001,,
2021-01-01,172.610001,,
2021-02-01,161.809998,,
2021-03-01,159.960007,,
2021-04-01,165.660004,,
2021-05-01,178.380005,,
2021-06-01,165.630005,,
2021-07-01,169.820007,,
2021-08-01,169.690002,,
2021-09-01,164.220001,,
2021-10-01,166.649994,,
2021-11-01,165.5,,
2021-12-01,170.960007,,
2022-01-01,168.089996,,
2022-02-01,178.380005,,
2022-03-01,180.649994,,
2022-04-01,176.910004,,
2022-05-01,171.139999,,
2022-06-01,168.460007,,
2022-07-01,164.100006,,
2022-08-01,159.270004,,
2022-09-01,154.669998,,
2022-10-01,151.910004,,
2022-11-01,164.809998,,
2022-12-01,169.639999,,
2023-01-01,179.410004,,
2023-02-01,169.779999,,
2023-03-01,183.220001,,
2023-04-01,184.800003,,
2023-05-01,182.320007,,
2023-06-01,178.270004,,
2023-07-01,182.350006,,
2023-08-01,180.020004,,
2023-09-01,171.449997,,
2023-10-01,184.089996,,
2023-11-01,188.75,,
